,Filer,Date,Accession No.,Description
385,Individual No Affiliation,10/23/2017,20171023-5220,Comment of Andrew Griffin under RM18-1.
386,"International Brotherhood of Electrical Workers, Fourth Dist",10/23/2017,20171023-5222,"Comment from International Vice President Brian Malloy on behalf of the International Brotherhood of Electrical Workers, Fourth District under RM18-1."
387,"Indiana Gas Company, Inc. d/b/a Vectren Energy Delivery of I Vectren Energy Delivery of Ohio, Inc. Southern Indiana Gas and Electric Company, d/b/a Vectren Ene",10/23/2017,20171023-5223,"Comment of Southern Indiana Gas and Electric Company, Inc. d/b/a Vectren Energy Delivery of Indiana, Inc., et. al. under RM18-1."
388,"Brake Supply Company, Inc.",10/23/2017,20171023-5225,"Comment of Brake Supply Company, Inc. under RM18-1."
389,Pennsylvania Coal Alliance,10/23/2017,20171023-5229,Comment of Pennsylvania Coal Alliance under RM18-1.
390,NATURAL GAS SUPPLY ASSOCIATION,10/23/2017,20171023-5230,Comment of NATURAL GAS SUPPLY ASSOCIATION in response to DOE Grid Resilience NOPR under RM18-1.
391,"Technology Management, Inc.",10/23/2017,20171023-5233,"Comment of Technology Management, Inc. under RM18-1."
392,Advanced Energy Management Alliance,10/23/2017,20171023-5234,Comment of Advanced Energy Management Alliance under RM18-1.
393,"Indianapolis Power & Light Company Dayton Power and Light Company, The Dayton Power and Light Company, The AES Distributed Energy AES ES Tait, LLC AES ES Tait, LLC AES Ohio Generation, LLC AES Ohio Generation, LLC AES Energy Storage, LLC",10/23/2017,20171023-5235,Comment of the AES Companies under RM18-1.
394,SUMMIT COUNTY OF,10/23/2017,20171023-5238,Comment of Summit County Executive Ilene Shapiro under RM18-1.
395,North American Coal Corporation,10/23/2017,20171023-5242,Comment of North American Coal Corporation under RM18-1.
396,"Tesla, Inc.",10/23/2017,20171023-5243,"Comment of Tesla, Inc. under RM18-1."
397,Mississippi Public Service Commission,10/23/2017,20171023-5254,Comment of Mississippi Public Service Commission under RM18-1.
398,"SunEx Solar, LLC",10/23/2017,20171023-5255,"Comment of SunEx Solar, LLC under RM18-1. Comments on negative effects on solar power industry and other forms of power generation and grid stability of proposed rule."
399,ALLIANCE FOR INDUSTRIAL EFFICIENCY,10/23/2017,20171023-5262,Comment of ALLIANCE FOR INDUSTRIAL EFFICIENCY under RM18-1. Our comments focus exclusively on the fallacy of defining resiliency to exclude clean and efficient CHP.
400,ARIPPA,10/23/2017,20171023-5265,Comment of ARIPPA under RM18-1.
401,Wal-Mart Stores Inc.,10/23/2017,20171023-5268,Comments of Wal-Mart Stores Inc. under RM18-1.
402,WESTERN INTERCONNECTION REGIONAL ADVISORY BODY WESTERN INTERCONNECTION REGIONAL ADVISORY BODY,10/23/2017,20171023-5269,Advice of WESTERN INTERCONNECTION REGIONAL ADVISORY BODY under RM18-1.
403,Chem-Mod LLC,10/23/2017,20171023-5270,Comment of Chem-Mod LLC under RM18-1.
404,"FirstLight Power Resources, Inc.",10/23/2017,20171023-5271,"Comments of FirstLight Power Resources, Inc. under RM18-1."
405,Massachusetts Municipal Wholesale Electric Company,10/23/2017,20171023-5272,"Comments of Massachusetts Municipal Wholesale Electric Company (MMWEC) under RM18-1, Grid Reliability and Resilience Pricing NOPR."
406,Xcel Energy Services Inc.,10/23/2017,20171023-5274,Comment of Xcel Energy Services Inc. under RM18-1.
407,"Consolidated Edison Company of New York, Inc. and Orange and",10/23/2017,20171023-5277,"Comment of Consolidated Edison Company of New York, Inc. and Orange and Rockland Utilities, Inc. under RM18-1."
408,Sunrise Coal LLC,10/23/2017,20171023-5278,Comment of Sunrise Coal LLC under RM18-1.
409,Individual No Affiliation,10/23/2017,20171023-5279,Comment of John E. McKeon under RM18-1.
410,"Day & Zimmermann NPS, Inc. DAY & ZIMMERMANN INFRASTRUCTURE",10/23/2017,20171023-5281,"Comment of Day & Zimmermann NPS, Inc. under RM18-1."
411,Individual No Affiliation,10/23/2017,20171023-5282,Comment of fey parrill under RM18-1.
412,New England States Committee on Electricity,10/23/2017,20171023-5283,Comments of the New England States Committee on Electricity (NESCOE) in Docket No. RM18-1.
413,Capital Power Corporation CAPITAL POWER CORPORATION,10/23/2017,20171023-5284,Comment of Capital Power Corporation under RM18-1.
414,"East Texas Electric Cooperative, Inc. Northeast Texas Electric Cooperative, Inc. Sam Rayburn G&T Electric Cooperative, Inc. Tex-La Electric Cooperative of Texas, Inc.",10/23/2017,20171023-5287,"Comment of East Texas Electric Cooperative, Inc., et. al. under RM18-1."
415,Horizon Power Systems,10/23/2017,20171023-5291,Comment of Horizon Power Systems under RM18-1.
416,California Energy Storage Alliance,10/23/2017,20171023-5292,Motion to Intervene and Comments of the California Energy Storage Alliance under RM18-1.
417,Catskill Mountainkeeper,10/23/2017,20171023-5293,Comment of Catskill Mountainkeeper under RM18-1.
418,Individual No Affiliation,10/23/2017,20171023-5297,Comment of Michael E Poynter under RM18-1.
419,"Minnkota Power Cooperative, Inc.",10/23/2017,20171023-5298,"Comment of Minnkota Power Cooperative, Inc. under RM18-1."
420,"Consolidated Edison Company of New York, Inc. and Orange and",10/23/2017,20171023-5301,"(doc-less) Motion to Intervene of Consolidated Edison Company of New York, Inc. and Orange and Rockland Utilities, Inc. under RM18-1."
421,North Dakota Public Service Commission,10/23/2017,20171023-5302,Initial Comments of North Dakota Public Service Commission under RM18-1.
422,IPKeys Technologies LLC,10/23/2017,20171023-5303,"Comment of IPKeys Technologies, LLC under RM18-1."
423,Louisiana Public Service Commission Mississippi Public Service Commission,10/23/2017,20171023-5304,Comments to Notice of Proposed Rulemaking on Behalf of the Louisiana Public Service Commission and the Mississippi Public Service Commission under RM18-1.
424,Great River Energy GREAT RIVER ENERGY,10/23/2017,20171023-5305,Comment of Great River Energy under RM18-1.
425,Energy Recovery Council,10/23/2017,20171023-5307,Comment of Energy Recovery Council under RM18-1.
426,"CITY OF ASPEN, CO, ET AL The City of Aspen",10/23/2017,20171023-5308,"Letter to Chairman Chatterjee and Commissioners LaFleur and Powelson of the City of Aspen, Colorado in opposition to Notice of Proposed Rulemaking under RM18-1."
427,"TPC Energy, LLC",10/23/2017,20171023-5309,"(doc-less) Motion to Intervene of TPC Energy, LLC under RM18-1."
428,Cleco Power LLC,10/23/2017,20171023-5311,Comment of Cleco Power LLC under RM18-1.
429,Pleasants County Schools,10/23/2017,20171023-5314,Comment of Pleasants County Schools under RM18-1.
430,Individual No Affiliation,10/23/2017,20171023-5315,Comment of Douglas E Ellsworth under RM18-1.
431,Nuclear Matters,10/23/2017,20171023-5317,Comments of Nuclear Matters under RM18-1.
432,"Overland Conveying Systems, L.L.C.",10/23/2017,20171023-5319,"Comment of Overland Conveying Systems, L.L.C. under RM18-1."
433,Power Trading Institute of the Commodity Markets Council,10/23/2017,20171023-5320,(doc-less) Motion to Intervene of Power Trading Institute of the Commodity Markets Council under RM18-1.
434,National Wildlife Federation,10/23/2017,20171023-5323,Comment of National Wildlife Federation under RM18-1.
435,Transmission Access Policy Study Group,10/23/2017,20171023-5324,Comments of the Transmission Access Policy Study Group under RM18-1.
436,National Grid,10/23/2017,20171023-5327,Comment of National Grid under RM18-1.
437,Iowa Utilities Board,10/23/2017,20171023-5329,(doc-less) Motion to Intervene of Iowa Utilities Board under RM18-1.
438,Public Service Commission of West Virginia,10/23/2017,20171023-5330,Comment of Public Service Commission of West Virginia under RM18-1.
439,Energy Storage Association,10/23/2017,20171023-5334,Comment of Energy Storage Association under RM18-1.
440,"Shell Energy North America (US), L.P.",10/23/2017,20171023-5338,"Comment of Shell Energy North America (US), L.P. under RM18-1."
441,Washington State Attorney General's Office,10/23/2017,20171023-5339,(doc-less) Corrected Motion to Intervene of Washington State Attorney General's Office under RM18-1.
442,"Cogentrix Energy Power Management, LLC",10/23/2017,20171023-5341,"Comments of Cogentrix Energy Power Management, LLC under RM18-1."
443,Process Gas Consumers Group,10/23/2017,20171023-5342,Comment of Process Gas Consumers Group under RM18-1.
444,National Rural Electric Cooperative Association,10/23/2017,20171023-5343,Comment of National Rural Electric Cooperative Association under RM18-1.
445,NUCLEAR ENERGY INSTITUTE,10/23/2017,20171023-5345,Comments and Supporting Declarations of the NUCLEAR ENERGY INSTITUTE under RM18-1.
446,Cooperative Energy,10/23/2017,20171023-5346,(doc-less) Motion to Intervene of Cooperative Energy under RM18-1.
447,Lake County Ohio Emergency Management Agency,10/23/2017,20171023-5347,Comment of Lake County Ohio Emergency Management Agency under RM18-1.
448,New Jersey Board of Public Utilities,10/23/2017,20171023-5349,Comment of New Jersey Board of Public Utilities under RM18-1.
449,Enbridge Inc.,10/23/2017,20171023-5353,Comments of Enbridge Inc. under RM18-1.
450,"New York Independent System Operator, Inc. New York Independent System Operator, Inc. New York Independent System Operator, Inc. New York Independent System Operator, Inc. New York Independent System Operator, Inc. New York Independent System Operator, Inc.",10/23/2017,20171023-5355,"(doc-less) Motion to Intervene of New York Independent System Operator, Inc. under RM18-1."
451,FirstEnergy Service Company,10/23/2017,20171023-5356,Comments of FirstEnergy Service Company et al. in Support of the Grid Reliability and Resilience Pricing Notice of Proposed Rulemaking under RM18-1.
452,North Carolina Utilities Commission,10/23/2017,20171023-5357,(doc-less) Notice of Intervention of North Carolina Utilities Commission under RM18-1.
453,Duke Energy Corporation,10/23/2017,20171023-5359,Comment of Duke Energy Corporation under RM18-1.
454,"Algonquin Gas Transmission, LLC",10/23/2017,20171023-5364,"Comments of Algonquin Gas Transmission, LLC under RM18-1."
455,The Nature Conservancy,10/23/2017,20171023-5367,Comment of The Nature Conservancy under RM18-1.
456,UNION OF CONCERNED SCIENTISTS,10/23/2017,20171023-5368,Comments of UNION OF CONCERNED SCIENTISTS under RM18-1.
457,Illinois Commerce Commission,10/23/2017,20171023-5369,Comments of the Illinois Commerce Commission under RM18-1.
458,Tabors Caramanis & Associates,10/23/2017,20171023-5370,Comment of Tabors Caramanis Rudkevich under RM18-1.
459,Large Public Power Council,10/23/2017,20171023-5371,Comments of the Large Public Power Council under Docket No. RM18-1.
460,OTTAWA COUNTY BOARD OF COMMISSIONERS (OHIO),10/23/2017,20171023-5372,Comment of OTTAWA COUNTY BOARD OF COMMISSIONERS (OHIO) under RM18-1.
461,Toledo Coalition for Safe Energy Don't Waste Michigan Beyond Nuclear Citizens for Alternatives to Chemical Contamination,10/23/2017,20171023-5373,"COMMENTS OF TOLEDO COALITION FOR SAFE ENERGY, et al. under Docket No. RM18-1."
462,MISO Transmission Owners MISO Transmission Owners,10/23/2017,20171023-5374,Comments of MISO Transmission Owners under RM18-1.
463,U.S. Women in Nuclear,10/23/2017,20171023-5375,Comment of U.S. Women in Nuclear under RM18-1.
464,Clean Air Task Force,10/23/2017,20171023-5376,Comment of Clean Air Task Force under RM18-1.
465,International District Energy Association International District Energy Association International District Energy Association,10/23/2017,20171023-5377,Comments of INTERNATIONAL DISTRICT ENERGY ASSOCIATION (IDEA) under RM18-1.
466,American Public Power Association,10/23/2017,20171023-5378,Comments of the American Public Power Association on Proposed Rule under RM18-1.
467,SMR Start,10/23/2017,20171023-5379,Comments of SMR Start under RM18-1.
468,"New York Independent System Operator, Inc.",10/23/2017,20171023-5380,NYISO filing of comments in response to the Grid Reliability and Resiliency Pricing Rule NOPR under RM18-1.
469,Pennsylvania Office of Consumer Advocate,10/23/2017,20171023-5383,Joint Consumer Advocates of the PJM Region Comments re Grid Resiliency Pricing under RM18-1.
470,ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC) ISO/RTO Council (IRC),10/23/2017,20171023-5385,Comments of ISO/RTO Council (IRC) under RM18-1.
471,Talen Energy Corporation,10/23/2017,20171023-5386,Initial Comments of Talen Energy Corporation under RM18-1.
472,American Forest & Paper Association,10/23/2017,20171023-5387,Comments of the American Forest & Paper Association under RM18-1.
473,Illinois Coal Association,10/23/2017,20171023-5388,Comment of Illinois Coal Association under RM18-1.
474,Eversource Energy Service Company,10/23/2017,20171023-5389,Eversource Energy Service Company comments re Grid Reliability and Resilience Pricing under RM18-1.
475,Individual No Affiliation,10/23/2017,20171023-5390,"Comment of Dr.Alex Pavlak, Chairman, Future of Energy Initiative under RM18-1."
476,"International Transmission Company, et al.",10/23/2017,20171023-5391,"Initial Comments of International Transmission Company, et al. under RM18-1."
477,"American Electric Power Company, Inc.",10/23/2017,20171023-5392,"Comment of American Electric Power Company, Inc. under RM18-1."
478,Earth Support Services Inc.,10/23/2017,20171023-5393,Comment of Earth Support Services Inc. under RM18-1.
479,"Minnesota Power [Allete, Inc.]",10/23/2017,20171023-5394,"Comments of Minnesota Power [ALLETE, Inc.] under RM18-1."
480,West Virginia Coal Association,10/23/2017,20171023-5395,Comment of West Virginia Coal Association under RM18-1.
481,Spire Inc.,10/23/2017,20171023-5396,Comments of Spire Inc. Re: Grid Reliability and Resilience Pricing under RM18-1.
482,Washington Utilities and Transportation Commission,10/23/2017,20171023-5397,Comment of Washington Utilities and Transportation Commission under RM18-1.
483,American Manufacturers and Large Institutional Customers,10/23/2017,20171023-5398,Comments of American Manufacturers and Large Institutional Customers under RM18-1.
484,IRONWORKERS LOCAL 549,10/23/2017,20171023-5399,Comment of IRONWORKERS LOCAL 549 under RM18-1.
485,LAKE COUNTY OHIO GOVERNMENT BCC,10/23/2017,20171023-5400,Comment of LAKE COUNTY OHIO GOVERNMENT BCC under RM18-1.
486,Green America,10/23/2017,20171023-5402,Comment of Green America under RM18-1.
487,The Mountain Pact,10/23/2017,20171023-5403,Comment of The Mountain Pact under RM18-1.
488,Bonneville Power Administration,10/23/2017,20171023-5404,(doc-less) Motion to Intervene of the Bonneville Power Administration under RM18-1.
489,Sandusky County Commissioners,10/23/2017,20171023-5406,Comment of Sandusky County Commissioners under RM18-1.
490,Office of the New York State Attorney General,10/23/2017,20171023-5407,Comment of Office of the New York State Attorney General under RM18-1.
491,Murray Energy Corporation,10/23/2017,20171023-5409,Comment of Murray Energy Corporation In Support of Proposed Rule under RM18-1.
492,Vitol Inc.,10/23/2017,20171023-5410,(doc-less) Motion to Intervene of Vitol Inc. under RM18-1.
493,"Alliant Energy Corporate Services, Inc.",10/23/2017,20171023-5411,"Comment of Alliant Energy Corporate Services, Inc. under RM18-1."
494,"Golden Spread Electric Cooperative, Inc.",10/23/2017,20171023-5412,"Rulemaking Comment of Golden Spread Electric Cooperative, Inc. under RM18-1."
495,WESTINGHOUSE ELECTRIC,10/23/2017,20171023-5413,Comment letter on behalf of WESTINGHOUSE ELECTRIC under RM18-1.
496,"LS Power Development, LLC",10/23/2017,20171023-5414,"Comments of LS Power Development, LLC on Notice of Proposed Rulemaking under RM18-1."
497,"Alliance for Clean Energy New York, Inc.",10/23/2017,20171023-5417,"Comment of Alliance for Clean Energy New York, Inc. on Grid Reliability and Resilience Pricing under RM18-1."
498,NORTHEAST STATES FOR COORDINATED,10/23/2017,20171023-5418,Comment of NORTHEAST STATES FOR COORDINATED AIR USE MANAGEMENT under RM18-1.
499,Tenaska Inc.,10/23/2017,20171023-5419,Comment of Tenaska Inc. under RM18-1.
500,Individual No Affiliation,10/23/2017,20171023-5424,Comments of Institute for Policy Integrity at New York University School of Law to RM18-1. (Erroneously filed)
501,Individual No Affiliation,10/23/2017,20171023-5425,Comment of Paula Sutkowski under RM18-1.
502,"Campbell Transportation Company, Inc.",10/23/2017,20171023-5427,"Comment of Campbell Transportation Company, Inc. under RM18-1."
503,ISO New England Inc.,10/23/2017,20171023-5428,ISO New England Inc. Comments on Department of Energy NOPR IN RM18-1.
504,M. J. Bradley & Associates,10/23/2017,20171023-5430,Comment of MJB&A Energy Strategy Coalition under RM18-1.
505,"Prairie State Generating Company, LLC",10/23/2017,20171023-5431,"Comments of Prairie State Generating Company, LLC in Docket No. RM18-1."
506,American Council on Renewable Energy,10/23/2017,20171023-5432,Comment of American Council on Renewable Energy under RM18-1.
507,Ameren Services Company,10/23/2017,20171023-5433,Comment of Ameren Services Company under RM18-1.
508,Pennsylvania Independent Oil & Gas Association,10/23/2017,20171023-5434,Comment of Pennsylvania Independent Oil & Gas Association under RM18-1.
509,CANADIAN ELECTRICITY ASSOCIATION,10/23/2017,20171023-5435,Motion to Intervene and Comments of CANADIAN ELECTRICITY ASSOCIATION under RM18-1.
510,AMERICAN PETROLEUM INSTITUTE,10/23/2017,20171023-5436,Comments of AMERICAN PETROLEUM INSTITUTE under RM18-1.
511,Maryland Public Service Commission,10/23/2017,20171023-5437,Comment of Maryland Public Service Commission under RM18-1.
512,Electric Power Supply Association Electric Power Supply Association Electric Power Supply Association,10/23/2017,20171023-5438,Initial Comments of Electric Power Supply Association under RM18-1.
513,Independent Petroleum Association of America,10/23/2017,20171023-5439,Comments of the Independent Petroleum Association of America and Cooperating Associations under RM18-1.
514,Public Utilities Commission of Ohio,10/23/2017,20171023-5440,Comments submitted on behalf of the Public Utilities Commission of Ohio under RM18-1.
515,"EQT Energy, LLC",10/23/2017,20171023-5441,"Comments of EQT Energy, LLC in accordance with the notice issued October 2, 2017 under RM18-1."
516,Microgrid Resources Coalition,10/23/2017,20171023-5442,Motion to Intervene of Microgrid Resources Coalition under RM18-1.
517,Old Dominion Electric Cooperative,10/23/2017,20171023-5443,COMMENTS OF OLD DOMINION ELECTRIC COOPERATIVE IN OPPOSITION TO ADOPTION OF THE GRID RESILIENCY PRICING RULE NOTICE OF PROPOSED RULEMAKING under. RM18-1.
518,Cameco,10/23/2017,20171023-5444,Comment of Cameco under RM18-1.
519,Southern California Edison Company San Diego Gas & Electric Company,10/23/2017,20171023-5445,"COMMENTS OF SOUTHERN CALIFORNIA EDISON COMPANY AND SAN DIEGO GAS & ELECTRIC COMPANY ON GRID RELIABILITY AND RESILIENCE PRICING, under RM18-1."
520,Enerfab Power & Industrial,10/23/2017,20171023-5446,Comment of Enerfab Power & Industrial under RM18-1.
521,Center for Climate and Energy Solutions,10/23/2017,20171023-5447,Comment of Center for Climate and Energy Solutions under RM18-1.
522,Exelon Corporation Exelon Corporation Exelon Corporation,10/23/2017,20171023-5448,Comments of Exelon Corporation under RM18-1.
523,"LPP Combustion, LLC",10/23/2017,20171023-5449,"Comment of LPP Combustion, LLC under RM18-1."
524,NRG Energy,10/23/2017,20171023-5450,Comment of NRG Energy under RM18-1.
525,United Consumer Advocates,10/23/2017,20171023-5452,Comment of United Consumer Advocates under RM18-1.
526,California Office of the Governor,10/23/2017,20171023-5454,Comment of California Office of the Governor under RM18-1.
527,Microsoft Corporation,10/23/2017,20171023-5455,Comments of Microsoft Corporation under RM18-1.
528,Center for Climate and Energy Solutions,10/23/2017,20171023-5456,Comments of Center for Climate and Energy Solutions under RM18-1.
529,Calpine Corporation,10/23/2017,20171023-5459,Comment of Calpine Corporation under RM18-1.
530,"American Municipal Power, Inc.",10/23/2017,20171023-5460,"Comment of American Municipal Power, Inc. under RM18-1."
531,Six Cities CA,10/23/2017,20171023-5461,"COMMENTS ON BEHALF OF THE CITIES OF ANAHEIM, AZUSA, BANNING, COLTON, PASADENA, AND RIVERSIDE, CALIFORNIA Docket No. RM18-1."
532,Microgrid Resources Coalition,10/23/2017,20171023-5462,Comments of Microgrid Resources Coalition under RM18-1.
533,Individual No Affiliation,10/23/2017,20171023-5464,Comment of Rachel E Levine under RM18-1.
534,Foundation for Resilient Societies,10/23/2017,20171023-5465,"Comment of Foundation for Resilient Societies and Motion to Intervene under RM18-1. We support the goal of Energy Secretary Perry to use resilient pricing but with fuel-neutral choices,auctions, varied times & dual-fuel generation options."
535,"Massachusetts Attorney General Maura Healey Massachusetts Attorney General Maura Healey Massachusetts Attorney General Maura Healey Connecticut Department of Energy & Environmental Protection Illinois Attorney General's Office North Carolina Office of Attorney General Oregon Department of Justice Rhode Island Attorney General State of Vermont Washington State Attorney General's Office Attorney General of the State of California RHODE ISLAND PUBLIC UTILITIES & CARRIERS New Hampshire Office of Consumer Advocate George Jepsen, Attorney General for the State of Connecticut",10/23/2017,20171023-5466,"Multistate Comments of Attorneys General, State Agencies and State Consumer Advocates under RM18-1."
536,Public Service Commission of Wisconsin,10/23/2017,20171023-5467,(doc-less) Motion to Intervene of Public Service Commission of Wisconsin under RM18-1.
537,"Deseret Generation & Transmission Co-operative, Inc.",10/23/2017,20171023-5468,"Comment of Deseret Generation & Transmission Co-operative, Inc. under RM18-1."
538,Retail Energy Supply Association,10/23/2017,20171023-5469,Comments of Retail Energy Supply Association in Opposition to the DOE NOPR under RM18-1.
539,Interstate Natural Gas Association of America Interstate Natural Gas Association of America Interstate Natural Gas Association of America,10/23/2017,20171023-5470,Initial Comments of the Interstate Natural Gas Association of America under RM18-1.
540,Environmental Defense Fund,10/23/2017,20171023-5471,Comment of Environmental Defense Fund under RM18-1.
541,Minova Global,10/23/2017,20171023-5473,Comment of Minova Global under RM18-1.
542,Pioneer Conveyor,10/23/2017,20171023-5474,Comment of Pioneer Conveyor under RM18-1.
543,California Public Utilities Commission,10/23/2017,20171023-5476,Comment of California Public Utilities Commission and Declaration of Kristin Ralff Douglas in Support thereof under RM18-1.
544,"City of Springfield, Illinois",10/23/2017,20171023-5478,"Comments of City of Springfield, Illinois, Office of Public Utilities d/b/a City Water, Light and Power under RM18-1."
545,Individual No Affiliation,10/23/2017,20171023-5479,Comment of James E Hopf under RM18-1.
546,X-energy,10/23/2017,20171023-5480,Comments of X-energy under RM18-1 - Grid Reliability and Resiliency Pricing.
547,Public Utility Commission of Oregon Oregon Public Utility Commission,10/23/2017,20171023-5481,Comment of Public Utility Commission of Oregon under RM18-1. Grid Reliability and Resilience Pricing.
548,Dairyland Power Cooperative Dairyland Power Cooperative,10/23/2017,20171023-5497,Comment of Dairyland Power Cooperative under RM18-1.
549,"Institute for Policy Integrity, New York University School o",10/23/2017,20171023-5498,"Comment of Institute for Policy Integrity, New York University School of Law under RM18-1."
550,"Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA, Joint Industry Commenters (AEE, Alliant, ABC, ACORE, AF&PA,",10/23/2017,20171023-5499,Joint Industry Comments Opposing the DOE Proposal under RM18-1.
551,Generation Atomic,10/23/2017,20171023-5500,Generation Atomic Comment in support of the national discussion on nuclear that the NOPR is intended to facilitate under RM18-1.
552,Western Farmers Electric Cooperative,10/23/2017,20171023-5502,Comments of Western Farmers Electric Cooperative under RM18-1.
553,Appian Way Energy Partners,10/23/2017,20171023-5503,Motion to Intervene and Comments of Appian Way Energy Partners under RM18-1.
554,Center for Coalfield Justice,10/23/2017,20171023-5506,Comment of Center for Coalfield Justice under RM18-1.
555,Individual No Affiliation,10/23/2017,20171023-5509,Comment of Cindy C Davenport under RM18-1.
556,"Covanta Energy, LLC Covanta Energy, LLC",10/23/2017,20171023-5514,"Comments of Covanta Energy, LLC under RM18-1."
557,ALLIANCE TO SAVE ENERGY,10/23/2017,20171023-5515,"Comments on EE from the ALLIANCE TO SAVE ENERGY under RM18-1-000, joined by American Energy Economy, Alliance for Industrial Efficiency, E4theFuture, Efficiency First, Home Performance Coalition, and National Assoc of Energy Service Companies."
558,"International Brotherhood of Electrical Workers, AFL-CIO INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS",10/23/2017,20171023-5516,"Comment of International Brotherhood of Electrical Workers, International President Lonnie R. Stephenson, under RM18-1."
559,"NuScale Power, LLC",10/23/2017,20171023-5518,"Comment of NuScale Power, LLC under RM18-1."
560,"Monitoring Analytics, LLC",10/23/2017,20171023-5520,Comment of the Independent Market Monitor for PJM under RM18-1.
561,"Olympus Power, LLC",10/23/2017,20171023-5522,"Motion to Intervene of Olympus Power, LLC under RM18-1."
562,Individual No Affiliation,10/23/2017,20171023-5524,"Comment of Bernadette Schaffhausen, of CW Cook Geothermal, under RM18-1."
563,EPRI,10/23/2017,20171023-5525,Comment of EPRI under RM18-1.
564,Utah Associated Municipal Power Systems,10/23/2017,20171023-5527,Comment of Utah Associated Municipal Power Systems under RM18-1.
565,"Alliance Coal, LLC",10/23/2017,20171023-5528,"Comment of Alliance Coal, LLC under RM18-1."
566,"Direct Energy Services, LLC Direct Energy Business, LLC Direct Energy Business Marketing, LLC",10/23/2017,20171023-5529,"Comment of Direct Energy Services, LLC, Direct Energy Business Marketing, LLC, and Direct Energy Business, LLC under RM18-1."
567,Peabody Energy Corporation,10/23/2017,20171023-5530,Motion to Intervene and Comments of Peabody Energy Corporation under RM18-1.
568,"Campbell Transportation Company, Inc.",10/23/2017,20171023-5531,"Comment of Campbell Transportation Company, Inc. under RM18-1."
569,U.S. Women in Nuclear,10/23/2017,20171023-5532,Comment of U.S. Women in Nuclear under RM18-1.
570,"Winston & Strawn LLP Central Hudson Gas & Electric Corporation Central Hudson Gas & Electric Corporation Consolidated Edison Company of New York, Inc. Consolidated Edison Company of New York, Inc. Orange and Rockland Utilities, Inc. Orange and Rockland Utilities, Inc. New York Power Authority New York Power Authority Niagara Mohawk d/b/a/ National Grid Niagara Mohawk d/b/a/ National Grid New York State Electric & Gas Corporation New York State Electric & Gas Corporation Rochester Gas and Electric Corporation Rochester Gas and Electric Corporation Power Supply Long Island Power Supply Long Island",10/23/2017,20171023-5533,Comments of the New York Transmission Owners under RM18-1.
571,Individual No Affiliation,10/23/2017,20171023-5534,Comment of Morgan A LaManna under RM18-1.
572,National Association of Regulatory Utility Commissioners,10/23/2017,20171023-5535,Comment of National Association of Regulatory Utility Commissioners under RM18-1.
573,Green Energy Institute at Lewis & Clark Law School,10/23/2017,20171023-5536,Comment of Green Energy Institute at Lewis & Clark Law School under RM18-1.
574,Senator Michael Bennet,10/23/2017,20171023-5537,Comment of Senator Michael Bennet under RM18-1. Signed letter and letter text attached.
575,Individual No Affiliation,10/23/2017,20171023-5538,Comment of Paula Sharaga under RM18-1.
576,Institute for Energy Research,10/23/2017,20171023-5539,Comment of Institute for Energy Research under RM18-1.
577,Individual No Affiliation,10/23/2017,20171023-5540,"Comment of The Honorable WILLIAM R GRAHAM, PhD, former Chairman: Commission under RM18-1."
578,Michigan Public Service Commission,10/23/2017,20171023-5541,Notice of Intervention and Comments of the Michigan Public Service Commission under RM18-1.
579,Individual No Affiliation,10/23/2017,20171023-5542,Comment of John Brecher under RM18-1.
580,Individual No Affiliation,10/23/2017,20171023-5544,Comment of Nancy A Ketcham-Colwill on grid resiliency pricing proposal under RM18-1.
581,ClearPath Foundation,10/23/2017,20171023-5545,Comment of ClearPath Foundation under RM18-1.
582,Dynegy Inc.,10/23/2017,20171023-5546,Comment of Dynegy Inc. under RM18-1.
583,Invenergy Renewables LLC Invenergy Thermal Development LLC,10/23/2017,20171023-5547,Comments of Invenergy Renewables LLC and Invenergy Thermal Development LLC under RM18-1.
584,American Nuclear Society AMERICAN NUCLEAR SOCIETY,10/23/2017,20171023-5548,Comment of American Nuclear Society under RM18-1.
